date,Momentum-20d,MeanReversion-20d/1σ,RSI-14d(oversold<40),BollingerBands-20d/2σ,SMACross-10/30d,Buy&Hold
2021-04-13,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2021-04-14,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,974329.5385694696
2021-04-15,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1029197.3596096813
2021-04-16,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1014860.1677349404
2021-04-19,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,979737.8742944609
2021-04-20,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,967588.2521764087
2021-04-21,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,979654.9634873561
2021-04-22,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,947115.6605759113
2021-04-23,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,973583.3413055262
2021-04-26,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,987148.8248987531
2021-04-27,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,981013.4251729965
2021-04-28,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,974316.7830606842
2021-04-29,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,977378.10516917
2021-04-30,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,957269.045569055
2021-05-03,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,946254.6637328996
2021-05-04,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,915290.6661564463
2021-05-05,1000000.0,1000000.0,1007469.7065771045,1000000.0,1000000.0,922127.6188653975
2021-05-06,1000000.0,1000000.0,1011964.0729411271,1000000.0,1000000.0,926241.270448675
2021-05-07,1000000.0,1000000.0,1032122.525485496,1000000.0,1000000.0,944692.1139066934
2021-05-10,1000000.0,1000000.0,1032122.525485496,1000000.0,1000000.0,909837.6861507064
2021-05-11,1000000.0,1002838.9575067644,1035052.6774771238,1000000.0,1000000.0,912420.676679741
2021-05-12,1000000.0,964439.4285634174,995419.658686663,1000000.0,1000000.0,877483.3381166491
2021-05-13,1000000.0,957906.3214120484,988676.6916343247,993226.005741905,1000000.0,871539.2710226729
2021-05-14,1000000.0,998401.772070266,1030472.9584383576,1035214.5946142385,1000000.0,908383.5581491756
2021-05-17,1000000.0,998401.772070266,1024865.8774667243,1029581.7131227967,1000000.0,903440.7984948499
2021-05-18,1000000.0,987850.7329061759,1014035.1675124855,1018701.1665515862,1000000.0,893893.3001690105
2021-05-19,1000000.0,991374.7940832267,1017652.6391070876,1022335.283642839,1000000.0,897082.1773653496
2021-05-20,1000000.0,991374.7940832267,1057206.0735224672,1062070.7199185959,1000000.0,931949.3606301221
2021-05-21,1000000.0,991374.7940832267,1057206.0735224672,1062070.7199185959,1000000.0,956140.183041551
2021-05-24,1000000.0,991374.7940832267,1057206.0735224672,1062070.7199185959,1000000.0,995695.015784942
2021-05-25,1002293.1078657443,991374.7940832267,1057206.0735224672,1062070.7199185959,1000000.0,997978.2518575209
2021-05-26,1005636.6897258519,991374.7940832267,1057206.0735224672,1062070.7199185959,1000000.0,1001307.439650499
2021-05-27,992057.3917499359,991374.7940832267,1057206.0735224672,1062070.7199185959,1000000.0,987786.600338021
2021-05-28,1040513.7074045604,991374.7940832267,1057206.0735224672,1062070.7199185959,1000000.0,1036034.3123186324
2021-06-01,1041794.7732513451,991374.7940832267,1057206.0735224672,1062070.7199185959,1001231.1859398568,1037309.8631971682
2021-06-02,1074705.3548552396,991374.7940832267,1057206.0735224672,1062070.7199185959,1032860.3527347721,1070078.7652667495
2021-06-03,1086971.5603382012,991374.7940832267,1057206.0735224672,1062070.7199185959,1044648.9581088985,1082292.1649287285
2021-06-04,1125947.9887266203,991374.7940832267,1057206.0735224672,1062070.7199185959,1082107.7903290344,1121100.8004081761
2021-06-07,1128554.9577248269,991374.7940832267,1057206.0735224672,1062070.7199185959,1084613.2537166427,1123696.5464459963
2021-06-08,1118178.3243658722,991374.7940832267,1057206.0735224672,1062070.7199185959,1074640.6476038045,1113364.5843298575
2021-06-09,1111856.2644119905,991374.7940832267,1057206.0735224672,1062070.7199185959,1068564.7449906124,1107069.7407442837
2021-06-10,1116128.619011017,991374.7940832267,1057206.0735224672,1062070.7199185959,1072670.750100034,1111323.7029242006
2021-06-11,1141769.151934409,991374.7940832267,1057206.0735224672,1062070.7199185959,1097312.9366862632,1136853.8537580916
2021-06-14,1154163.4640020493,991374.7940832267,1057206.0735224672,1062070.7199185959,1109224.6606543756,1149194.8085079242
2021-06-15,1139411.9907763256,991374.7940832267,1057206.0735224672,1062070.7199185959,1095047.5545569272,1134506.840141586
2021-06-16,1140808.3525493208,991374.7940832267,1057206.0735224672,1062070.7199185959,1096389.547231371,1135897.19059919
2021-06-17,1195061.4911606454,991374.7940832267,1057206.0735224672,1062070.7199185959,1148530.2717842967,1189916.7703051753
2021-06-18,1193876.5052523697,991374.7940832267,1057206.0735224672,1062070.7199185959,1147391.4247899293,1188736.88574253
2021-06-21,1180329.2339226233,991374.7940832267,1057206.0735224672,1062070.7199185959,1134371.633475946,1175247.9352020153
2021-06-22,1209761.7217524978,991374.7940832267,1057206.0735224672,1062070.7199185959,1162658.1304441507,1204553.7166363723
2021-06-23,1220682.808096336,991374.7940832267,1057206.0735224672,1062070.7199185959,1173153.990581428,1215427.787875889
2021-06-24,1230175.506021009,991374.7940832267,1057206.0735224672,1062070.7199185959,1182277.078395765,1224879.6198858384
2021-06-25,1218998.206507814,991374.7940832267,1057206.0735224672,1062070.7199185959,1171534.9810705164,1213750.4384706144
2021-06-28,1280105.0473994357,991374.7940832267,1057206.0735224672,1062070.7199185959,1230262.5504016746,1274594.2153767657
2021-06-29,1282782.4750192154,991374.7940832267,1057206.0735224672,1062070.7199185959,1232835.729015975,1277260.1167129055
2021-06-30,1281225.9800153722,991374.7940832267,1057206.0735224672,1062070.7199185959,1231339.8380990494,1275710.3223954847
2021-07-01,1294645.1447604399,991374.7940832267,1057206.0735224672,1062070.7199185959,1244236.5108190468,1289071.7178481456
2021-07-02,1312259.800153727,991374.7940832267,1057206.0735224672,1062070.7199185959,1261165.3174920743,1306610.542428011
2021-07-06,1325807.0714834733,991374.7940832267,1057206.0735224672,1062070.7199185959,1274185.1088060576,1320099.4929685257
2021-07-07,1304880.8608762482,991374.7940832267,1057206.0735224672,1062070.7199185959,1254073.6864785007,1299263.3693676456
2021-07-08,1274839.866769151,991374.7940832267,1057206.0735224672,1062070.7199185959,1225202.3761888642,1269351.701265984
2021-07-09,1284281.3220599531,991374.7940832267,1057206.0735224672,1062070.7199185959,1234276.216565607,1278752.511240792
2021-07-12,1313893.1591083773,991374.7940832267,1057206.0735224672,1062070.7199185959,1262735.0795653916,1308236.8697981439
2021-07-13,1297079.1698693305,991374.7940832267,1057206.0735224672,1062070.7199185959,1246575.7641047742,1291495.2645173634
2021-07-14,1270913.3999487564,991374.7940832267,1057206.0735224672,1062070.7199185959,1221428.7912832038,1265442.1378232723
2021-07-15,1214853.9584934658,991374.7940832267,1057206.0735224672,1062070.7199185959,1167552.0945550804,1209624.0313785516
2021-07-16,1163271.842172687,991374.7940832267,1057206.0735224672,1062070.7199185959,1117978.3926867559,1158263.9752543129
2021-07-19,1163271.842172687,1025153.9209252894,1057206.0735224672,1062070.7199185959,1156071.2856659181,1197729.5194362064
2021-07-20,1152877.854211336,1015994.0348811747,1047759.7972502452,1062070.7199185959,1145741.6356305215,1187027.6475652922
2021-07-21,1202308.1426091788,1059555.3523019345,1092683.0896533024,1062070.7199185959,1194865.9546307987,1237922.1276188653
2021-07-22,1213705.6025906361,1059555.3523019345,1092683.0896533024,1062070.7199185959,1206192.865277479,1249657.1957013935
2021-07-23,1211475.664768177,1059555.3523019345,1092683.0896533024,1062070.7199185959,1203976.7305857372,1247361.2041200292
2021-07-26,1195122.7874034774,1059555.3523019345,1092683.0896533024,1062070.7199185959,1187725.0761796306,1230523.9325233586
2021-07-27,1189795.7137164916,1059555.3523019345,1087812.6249642703,1062070.7199185959,1187725.0761796306,1225039.063745655
2021-07-28,1189795.7137164916,1059555.3523019345,1104519.4515138569,1062070.7199185959,1187725.0761796306,1243853.439204056
2021-07-29,1189795.7137164916,1059555.3523019345,1104519.4515138569,1062070.7199185959,1187725.0761796306,1253994.0686884148
2021-07-30,1189795.7137164916,1059555.3523019345,1104519.4515138569,1062070.7199185959,1187725.0761796306,1243598.329028349
2021-08-02,1189795.7137164916,1059555.3523019345,1104519.4515138569,1062070.7199185959,1187725.0761796306,1259606.4925539717
2021-08-03,1189795.7137164916,1059555.3523019345,1104519.4515138569,1062070.7199185959,1187725.0761796306,1263752.0329092126
2021-08-04,1189795.7137164916,1059555.3523019345,1104519.4515138569,1062070.7199185959,1187725.0761796306,1293025.925571606
2021-08-05,1189795.7137164916,1059555.3523019345,1104519.4515138569,1062070.7199185959,1187725.0761796306,1316177.1740170284
2021-08-06,1174171.6095144677,1059555.3523019345,1104519.4515138569,1062070.7199185959,1172128.1630796315,1298893.4596128704
2021-08-09,1170078.2095205795,1059555.3523019345,1104519.4515138569,1062070.7199185959,1168041.8869538016,1294365.2539940686
2021-08-10,1170078.2095205795,1059555.3523019345,1104519.4515138569,1062070.7199185959,1147380.2935851682,1271469.1157243534
2021-08-11,1170078.2095205795,1059555.3523019345,1104519.4515138569,1062070.7199185959,1133740.188770778,1256353.837813706
2021-08-12,1170078.2095205795,1059555.3523019345,1104519.4515138569,1062070.7199185959,1145596.1448541721,1269492.0118626233
2021-08-13,1186713.835408262,1059555.3523019345,1104519.4515138569,1062070.7199185959,1161883.696172621,1287541.0567939028
2021-08-16,1172723.4503861119,1059555.3523019345,1104519.4515138569,1062070.7199185959,1148186.03817336,1272362.0013393282
2021-08-17,1143802.150256289,1059555.3523019345,1104519.4515138569,1062070.7199185959,1119869.8712169041,1240983.4497273508
